Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
-0.0453394	2.3979	4.91265	3.21888	1.79176	5.19296	4.35671	5.7301
-0.0420056	2.30259	6.63463	4.06044	2.99573	5.63479	3.2581	5.33754
-0.0510735	2.3979	4.91265	3.21888	1.79176	5.49717	4.44265	5.56452
-0.0482731	2.3979	6.63726	3.98898	2.77259	5.61313	3.2581	5.32788
-0.044806	2.30259	4.90527	3.2581	1.94591	5.17048	4.57471	5.98141
-0.0500067	2.30259	6.63463	3.98898	2.77259	5.67675	3.2581	5.33754
-0.0238699	2.3979	4.91265	3.21888	1.79176	5.43372	4.44265	5.55683
-0.0400053	2.30259	6.62539	3.98898	2.99573	5.59099	3.2581	5.33272
-0.0486732	2.30259	4.89784	3.2581	1.79176	5.26269	4.46591	5.97635
-0.0406721	2.30259	6.63726	4.09434	2.99573	5.54126	3.2581	5.32788
-0.0360048	2.3979	4.90527	3.21888	1.94591	5.31812	4.44265	5.94017
-0.0345379	2.3979	6.62407	3.98898	2.99573	5.62762	3.3673	5.33272
-0.0350713	2.3979	4.90527	3.21888	1.94591	5.31812	4.45435	5.64545
-0.0361382	2.56495	6.62804	3.95124	2.89037	5.5835	3.2581	5.33272
-0.0409388	2.3979	4.89035	3.29584	1.79176	5.20949	4.07754	5.79909
-0.0270703	2.3979	6.632	3.8712	2.94444	5.6058	3.21888	5.33272
-0.0361382	2.3979	4.89784	3.2581	1.79176	5.20401	4.56435	5.68017
-0.0294706	2.3979	6.62407	3.97029	2.83321	5.64897	3.2581	5.33272
-0.0336045	2.30259	4.90527	3.2581	1.94591	5.46806	4.41884	5.63479
-0.0345379	2.3979	6.632	3.93183	2.89037	5.59471	3.2581	5.33272
-0.0313375	2.30259	4.90527	3.2581	1.94591	5.27811	4.46591	5.97381
-0.0204027	2.3979	6.62936	3.98898	2.83321	5.60947	3.2581	5.33272
-0.037605	2.30259	4.92725	3.2581	1.79176	5.27811	4.43082	5.64897
-0.0216029	2.3979	6.63595	4.09434	2.94444	5.5835	3.2581	5.34233
-0.0298706	2.30259	4.91265	3.21888	1.94591	5.31812	4.33073	5.94542
-0.0198693	2.3979	6.63726	4.09434	2.99573	5.61313	3.2581	5.34233
-0.0345379	2.30259	4.90527	3.29584	1.79176	5.42053	4.40672	5.93754
-0.0254701	2.3979	6.63332	3.91202	2.94444	5.57973	3.2581	5.32788
-0.0328044	2.3979	4.89784	3.2581	1.94591	5.2832	4.33073	5.97635
-0.0146686	2.3979	6.63595	4.09434	2.99573	5.56834	3.2581	5.33272
-0.017469	2.30259	4.91265	3.21888	1.94591	5.55683	4.45435	5.88888
-0.0241365	2.3979	6.63068	4.02535	2.99573	5.5835	3.2581	5.33272
-0.0288038	2.3979	4.89784	3.29584	1.79176	5.27811	4.40672	5.65948
-0.0208028	2.3979	6.63332	3.98898	2.83321	5.60212	3.2581	5.34233
-0.022403	2.3979	4.89784	3.2581	1.79176	5.22575	4.46591	5.97889
-0.0221363	2.30259	6.65286	3.93183	2.77259	5.5835	3.2581	5.33272
-0.0153354	2.30259	4.89784	3.2581	1.94591	5.18739	4.52179	5.69036
-0.0204027	2.3979	6.63332	4.09434	2.99573	5.53733	3.2581	5.33272
